GEOID,INTPTLAT,INTPTLONG 
06001400100,37.8676275,-122.2319460                                                                                                                             
06001400200,37.8481386,-122.2495967                                                                                                                              
06001400300,37.8405983,-122.2544365                                                                                                                             
06001400400,37.8482803,-122.2574533                                                                                                                              
06001400500,37.8485412,-122.2647277                                                                                                                              
06001400600,37.8419909,-122.2648882                                                                                                                              
06001400700,37.8417667,-122.2723529                                                                                                                              
06001400800,37.8454758,-122.2834063                                                                                                                              
06001400900,37.8394912,-122.2802646                                                                                                                              
06001401000,37.8312498,-122.2719174                                                                                                                             
06001401100,37.8305011,-122.2638577                                                                                                                              
06001401200,37.8306007,-122.2579055                                                                                                                              
06001401300,37.8181082,-122.2667067                                                                                                                              
06001401400,37.8207816,-122.2733755                                                                                                                              
06001401500,37.8229410,-122.2806321                                                                                                                              
06001401600,37.8173716,-122.2814825                                                                                                                              
06001401700,37.8225184,-122.3077741                                                                                                                       
06001401800,37.8095326,-122.2982355                                                                                                                              
06001402200,37.8063521,-122.2963073                                                                                                                              
06001402400,37.8120310,-122.2824569                                                                                                                              
06001402500,37.8057305,-122.2847803                                                                                                                              
06001402600,37.8042701,-122.2799551                                                                                                                              
06001402700,37.8103873,-122.2769910                                                                                                                              
06001402800,37.8087180,-122.2715001                                                                                                                              
06001402900,37.8071501,-122.2668100                                                                                                                              
06001403000,37.8004341,-122.2707274                                                                                                                              
06001403100,37.8022741,-122.2755012                                                                                                                              
06001403300,37.7944308,-122.2663244                                                                                                                          
06001403400,37.8026480,-122.2626596                                                                                                                         
06001403501,37.8177353,-122.2600616                                                                                                                              
06001403502,37.8159624,-122.2569395                                                                                                                              
06001403600,37.8135113,-122.2534917                                                                                                                              
06001403701,37.8112134,-122.2586656                                                                                                                              
06001403702,37.8095265,-122.2520804                                                                                                                              
06001403800,37.8148229,-122.2416681                                                                                                                              
06001403900,37.8171793,-122.2487698                                                                                                                              
06001404000,37.8233007,-122.2536651                                                                                                                              
06001404101,37.8300794,-122.2498160                                                                                                                              
06001404102,37.8260219,-122.2510667                                                                                                                              
06001404200,37.8361135,-122.2344665                                                                                                                             
06001404300,37.8446717,-122.2381046                                                                                                                         
06001404400,37.8462430,-122.2150688                                                                                                                             
06001404501,37.8271275,-122.2171515                                                                                                                          
06001404502,37.8345259,-122.2026155                                                                                                                             
06001404600,37.8198587,-122.1912195                                                                                                                             
06001404700,37.8133426,-122.2069935                                                                                                                             
06001404800,37.8055076,-122.2131962                                                                                                                              
06001404900,37.8041422,-122.2215059                                                                                                                             
06001405000,37.8120851,-122.2190899                                                                                                                              
06001405100,37.8114250,-122.2322365                                                                                                                             
06001405200,37.8052770,-122.2433878                                                                                                                              
06001405301,37.8020757,-122.2513558                                                                                                                              
06001405302,37.7985014,-122.2542496                                                                                                                              
06001405401,37.7965384,-122.2494562                                                                                                                              
06001405402,37.7933319,-122.2461006                                                                                                                              
06001405500,37.7982821,-122.2432790                                                                                                                              
06001405600,37.8008019,-122.2372726                                                                                                                              
06001405700,37.7982307,-122.2296737                                                                                                                              
06001405800,37.7939452,-122.2330985                                                                                                                              
06001405901,37.7877860,-122.2357701                                                                                                                              
06001405902,37.7909447,-122.2409530                                                                                                                              
06001406000,37.7915385,-122.2513420                                                                                                                        
06001406100,37.7741755,-122.2275801                                                                                                                         
06001406201,37.7850448,-122.2307360                                                                                                                              
06001406202,37.7819786,-122.2265557                                                                                                                              
06001406300,37.7892881,-122.2250125                                                                                                                              
06001406400,37.7968060,-122.2217201                                                                                                                          
06001406500,37.7880813,-122.2169867                                                                                                                              
06001406601,37.7936093,-122.2079606                                                                                                                              
06001406602,37.7964782,-122.2143072                                                                                                                              
06001406700,37.8033164,-122.2022249                                                                                                                             
06001406800,37.7978944,-122.1949575                                                                                                                              
06001406900,37.7932754,-122.1903803                                                                                                                              
06001407000,37.7879458,-122.2024901                                                                                                                              
06001407101,37.7831287,-122.2143966                                                                                                                              
06001407102,37.7807761,-122.2102385                                                                                                                              
06001407200,37.7777848,-122.2192819                                                                                                                              
06001407300,37.7621786,-122.2109235                                                                                                                        
06001407400,37.7710407,-122.2067479                                                                                                                              
06001407500,37.7695150,-122.1976091                                                                                                                              
06001407600,37.7775293,-122.2031992                                                                                                                             
06001407700,37.7765228,-122.1931965                                                                                                                              
06001407800,37.7817417,-122.1866597                                                                                                                             
06001407900,37.7884281,-122.1847829                                                                                                                             
06001408000,37.8029607,-122.1828709                                                                                                                             
06001408100,37.7853987,-122.1572109                                                                                                                             
06001408200,37.7751005,-122.1755728                                                                                                                              
06001408300,37.7710979,-122.1645165                                                                                                                             
06001408400,37.7646056,-122.1709595                                                                                                                              
06001408500,37.7604176,-122.1785112                                                                                                                              
06001408600,37.7661964,-122.1823031                                                                                                                             
06001408700,37.7688610,-122.1889435                                                                                                                             
06001408800,37.7588039,-122.1969422                                                                                                                             
06001408900,37.7541816,-122.1887803                                                                                                                              
06001409000,37.7200100,-122.2213649                                                                                                                      
06001409100,37.7323274,-122.1834756                                                                                                                              
06001409200,37.7290830,-122.1778389                                                                                                                              
06001409300,37.7378456,-122.1733452                                                                                                                             
06001409400,37.7446130,-122.1803623                                                                                                                             
06001409500,37.7504463,-122.1837659                                                                                                                              
06001409600,37.7532669,-122.1726197                                                                                                                              
06001409700,37.7564187,-122.1658929                                                                                                                              
06001409800,37.7603609,-122.1557636                                                                                                                             
06001409900,37.7619727,-122.1358250                                                                                                                             
06001410000,37.7447566,-122.1332163                                                                                                                        
06001410100,37.7478642,-122.1535285                                                                                                                              
06001410200,37.7453063,-122.1571742                                                                                                                              
06001410300,37.7466798,-122.1661407                                                                                                                              
06001410400,37.7408161,-122.1621741                                                                                                                              
06001410500,37.8100159,-122.2889571                                                                                                                              
06001420100,37.8947731,-122.2910214                                                                                                                              
06001420200,37.8944657,-122.2974678                                                                                                                              
06001420300,37.8906499,-122.3181164                                                                                                                       
06001420400,37.8862111,-122.3141637                                                                                                                       
06001420500,37.8867059,-122.2950048                                                                                                                              
06001420600,37.8870336,-122.2870621                                                                                                                              
06001421100,37.8994340,-122.2661928                                                                                                                              
06001421200,37.8975481,-122.2752271                                                                                                                          
06001421300,37.8911093,-122.2813663                                                                                                                             
06001421400,37.8883409,-122.2709220                                                                                                                              
06001421500,37.8918465,-122.2591618                                                                                                                          
06001421600,37.8839557,-122.2560120                                                                                                                             
06001421700,37.8819398,-122.2701842                                                                                                                              
06001421800,37.8802854,-122.2782006                                                                                                                              
06001421900,37.8794875,-122.2896350                                                                                                                              
06001422000,37.8578054,-122.3012478                                                                                                                       
06001422100,37.8733067,-122.2965336                                                                                                                              
06001422200,37.8728828,-122.2878171                                                                                                                              
06001422300,37.8740722,-122.2779152                                                                                                                              
06001422400,37.8752396,-122.2695878                                                                                                                              
06001422500,37.8773130,-122.2603183                                                                                                                              
06001422600,37.8738034,-122.2546065                                                                                                                             
06001422700,37.8679235,-122.2494910                                                                                                                              
06001422800,37.8667875,-122.2599790                                                                                                                              
06001422900,37.8678899,-122.2692470                                                                                                                              
